day_of_week,month,total_flights,delay_rate_pct,avg_arr_delay_min
Friday,1,74105,25.69,13.4
Monday,1,91299,23.63,13.4
Saturday,1,63514,24.07,10.0
Sunday,1,73615,24.62,10.9
Thursday,1,73913,18.35,3.7
Tuesday,1,85106,26.88,16.3
Wednesday,1,85719,18.6,4.4
Friday,2,75377,15.09,-0.1
Monday,2,74763,17.52,1.8
Saturday,2,63965,18.49,2.9
Sunday,2,73950,18.49,4.2
Thursday,2,94211,14.72,-0.4
Tuesday,2,67754,13.72,-1.2
Wednesday,2,69201,12.86,-2.9
Friday,3,99425,23.15,8.5
Monday,3,79260,18.94,3.8
Saturday,3,87018,23.98,12.0
Sunday,3,98023,23.95,9.6
Thursday,3,80196,22.58,8.8
Tuesday,3,73349,12.72,-2.2
Wednesday,3,74496,16.4,2.5
Friday,4,81291,21.64,8.1
Monday,4,101311,16.41,2.4
Saturday,4,69560,18.11,4.6
Sunday,4,79813,18.92,4.4
Thursday,4,81115,23.57,10.5
Tuesday,4,93260,15.1,0.6
Wednesday,4,75855,19.57,8.4
Friday,5,103101,27.69,14.7
Monday,5,82010,26.53,15.0
Saturday,5,69537,21.58,7.2
Sunday,5,78849,25.29,11.5
Thursday,5,102873,28.91,20.1
Tuesday,5,76731,25.76,14.4
Wednesday,5,96642,24.33,13.0
Friday,6,84858,25.04,11.4
Monday,6,84395,23.6,9.8
Saturday,6,93728,22.77,9.9
Sunday,6,103503,26.01,14.6
Thursday,6,84541,24.7,11.3
Tuesday,6,79487,23.75,11.8
Wednesday,6,80620,25.74,13.6
Friday,7,83393,33.1,25.5
Monday,7,105998,30.26,20.8
Saturday,7,76632,26.26,15.3
Sunday,7,84457,32.07,23.3
Thursday,7,81211,25.28,12.4
Tuesday,7,100575,26.51,14.9
Wednesday,7,102347,27.15,15.1
Friday,8,105386,27.03,14.7
Monday,8,83362,23.73,11.5
Saturday,8,89325,21.78,9.5
Sunday,8,83952,24.47,14.1
Thursday,8,105190,26.33,13.5
Tuesday,8,75277,17.03,4.6
Wednesday,8,76533,17.02,3.5
Friday,9,82581,18.56,4.5
Monday,9,103737,15.66,1.6
Saturday,9,67387,11.85,-2.6
Sunday,9,101771,18.34,3.4
Thursday,9,82746,16.74,2.5
Tuesday,9,72214,11.02,-3.2
Wednesday,9,72186,13.36,-1.4
Friday,10,85701,16.52,2.5
Monday,10,84851,14.24,0.1
Saturday,10,69754,11.46,-3.4
Sunday,10,84572,15.79,1.0
Thursday,10,103170,14.42,0.3
Tuesday,10,92999,9.28,-5.0
Wednesday,10,94450,9.79,-4.6
Friday,11,99577,15.78,1.2
Monday,11,81913,13.77,0.0
Saturday,11,89681,14.37,-1.4
Sunday,11,82203,14.36,-0.8
Thursday,11,73191,18.36,3.9
Tuesday,11,73422,11.29,-4.0
Wednesday,11,75417,13.91,-1.4
Friday,12,80624,24.59,10.9
Monday,12,101060,17.49,3.3
Saturday,12,71414,25.14,11.6
Sunday,12,102272,22.91,9.0
Thursday,12,79599,23.23,9.7
Tuesday,12,85899,15.92,3.1
Wednesday,12,69713,18.17,2.9
